                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.75996,                 3.0392,                 1.1866,                0.68624,                0.54177,                0.69583,                0.50629,                 1.5674,                 1.5884,                 1.3491,                      0,                      0,                      0
                      2,                 1.1158,                 2.5969,                 1.3675,                0.89156,                0.52488,                0.73306,                0.51207,                 1.5454,                 1.5575,                 1.3331,             1.1664e-06,             1.1664e-06,             1.1664e-06
                      3,                   1.18,                 2.5616,                 1.3676,                0.90498,                 0.5234,                0.73758,                0.51812,                 1.5303,                 1.5424,                  1.321,             2.2858e-06,             2.2858e-06,             2.2858e-06
                      4,                 1.2758,                 2.8628,                 1.5847,                  0.908,                0.53169,                0.73721,                0.51505,                  1.514,                 1.5204,                 1.3077,             3.3579e-06,             3.3579e-06,             3.3579e-06
                      5,                  1.198,                 2.4025,                 1.5346,                0.91099,                0.54108,                0.77589,                0.53388,                 1.4943,                 1.5255,                 1.3008,              4.383e-06,              4.383e-06,              4.383e-06
                      6,                0.72631,                 2.9784,                 1.2307,                0.91263,                0.54925,                0.74919,                0.54969,                 1.5178,                 1.5526,                 1.3036,             5.3609e-06,             5.3609e-06,             5.3609e-06
                      7,                  1.162,                 3.0898,                 1.4799,                0.91115,                   0.55,                0.75111,                0.55072,                 1.5388,                 1.6041,                 1.3081,             6.2918e-06,             6.2918e-06,             6.2918e-06
                      8,                  1.137,                 2.9524,                 1.4405,                0.92144,                   0.55,                0.75111,                0.54515,                  1.542,                 1.6465,                 1.3136,             7.1755e-06,             7.1755e-06,             7.1755e-06
                      9,                 1.1316,                 2.6374,                 1.2855,                0.92876,                   0.55,                0.75219,                0.53997,                 1.5582,                 1.6956,                 1.3219,              8.012e-06,              8.012e-06,              8.012e-06
                     10,                 1.1114,                 3.2969,                  1.398,                0.93244,                   0.55,                0.75346,                0.52305,                 1.5526,                 1.7643,                 1.3271,             8.8015e-06,             8.8015e-06,             8.8015e-06
                     11,                0.90113,                 2.1309,                 1.2393,                0.93827,                   0.55,                0.75199,                0.52262,                 1.5642,                  1.842,                 1.3504,             9.5438e-06,             9.5438e-06,             9.5438e-06
                     12,                 1.7728,                 3.1224,                 2.2463,                0.93056,                   0.55,                0.70861,                 0.5246,                 1.5555,                 1.8648,                 1.3521,             1.0239e-05,             1.0239e-05,             1.0239e-05
                     13,                 1.1598,                 2.1553,                 1.5579,                0.90751,                   0.55,                0.70854,                0.52336,                 1.5436,                 1.8767,                 1.3498,             1.0887e-05,             1.0887e-05,             1.0887e-05
                     14,                 1.0013,                 1.9573,                 1.3817,                0.89617,                   0.55,                0.65818,                0.50949,                 1.5255,                 1.8854,                 1.3403,             1.1488e-05,             1.1488e-05,             1.1488e-05
                     15,                 1.0642,                 2.9588,                 1.5185,                0.87586,                   0.55,                0.66179,                0.50937,                 1.5202,                 1.9524,                 1.3411,             1.2042e-05,             1.2042e-05,             1.2042e-05
                     16,                 1.2874,                 2.7137,                 1.5071,                 0.8592,                0.55102,                 0.6365,                0.48212,                 1.5342,                 1.9745,                 1.3462,             1.2549e-05,             1.2549e-05,             1.2549e-05
                     17,                 1.4851,                 2.1945,                 1.8032,                0.84533,                0.55755,                0.63648,                0.47311,                 1.5273,                 1.9932,                 1.3466,             1.3008e-05,             1.3008e-05,             1.3008e-05
                     18,                 1.3521,                 3.5883,                 1.6267,                0.84533,                0.55755,                0.63648,                0.47311,                 1.5273,                 1.9932,                 1.3466,             1.3421e-05,             1.3421e-05,             1.3421e-05
                     19,                0.83696,                 1.8393,                 1.2651,                0.82264,                 0.5652,                0.60977,                0.46191,                 1.5374,                 2.0768,                  1.357,             1.3786e-05,             1.3786e-05,             1.3786e-05
                     20,                 1.1716,                 1.9924,                 1.5329,                0.82264,                 0.5652,                0.60977,                0.46191,                 1.5374,                 2.0768,                  1.357,             1.4104e-05,             1.4104e-05,             1.4104e-05
                     21,                 1.9742,                 5.3873,                 2.2619,                0.76746,                0.58333,                0.60902,                0.45753,                 1.5796,                 2.1372,                 1.3736,             1.4375e-05,             1.4375e-05,             1.4375e-05
                     22,                0.99585,                 1.9405,                 1.2559,                0.76746,                0.58333,                0.60902,                0.45753,                 1.5796,                 2.1372,                 1.3736,             1.4599e-05,             1.4599e-05,             1.4599e-05
                     23,                0.97061,                 2.3334,                 1.3719,                0.77424,                0.58333,                0.59337,                0.43892,                 1.6212,                 2.1977,                 1.3984,             1.4776e-05,             1.4776e-05,             1.4776e-05
                     24,                0.97244,                 2.0345,                 1.2538,                0.77424,                0.58333,                0.59337,                0.43892,                 1.6212,                 2.1977,                 1.3984,             1.4906e-05,             1.4906e-05,             1.4906e-05
                     25,                 1.2253,                 2.4633,                 1.5094,                0.80095,                0.41667,                0.59433,                0.44108,                 1.6836,                 2.2517,                 1.4431,             1.4988e-05,             1.4988e-05,             1.4988e-05
                     26,                 0.7738,                 1.8995,                 1.2993,                0.80095,                0.41667,                0.59433,                0.44108,                 1.6836,                 2.2517,                 1.4431,             1.5024e-05,             1.5024e-05,             1.5024e-05
                     27,                 1.0184,                 1.9466,                 1.3142,                0.94125,                0.38333,                0.59189,                0.43772,                 1.7022,                 2.3144,                 1.4693,             1.5012e-05,             1.5012e-05,             1.5012e-05
                     28,                  1.254,                 2.4764,                 1.6044,                0.94125,                0.38333,                0.59189,                0.43772,                 1.7022,                 2.3144,                 1.4693,             1.4953e-05,             1.4953e-05,             1.4953e-05
                     29,                 1.0857,                 2.5643,                 1.3204,                0.94858,                0.38333,                0.58151,                0.41983,                 1.7472,                 2.3206,                 1.5116,             1.4847e-05,             1.4847e-05,             1.4847e-05
                     30,                0.62124,                 1.3772,                 1.0485,                0.94858,                0.38333,                0.58151,                0.41983,                 1.7472,                 2.3206,                 1.5116,             1.4694e-05,             1.4694e-05,             1.4694e-05
                     31,                0.93886,                 1.5093,                 1.2868,                0.95068,                0.38333,                0.57556,                0.41829,                 1.7394,                 2.3328,                 1.5356,             1.4494e-05,             1.4494e-05,             1.4494e-05
                     32,                0.87802,                  1.221,                 1.1465,                0.95068,                0.38333,                0.57556,                0.41829,                 1.7394,                 2.3328,                 1.5356,             1.4247e-05,             1.4247e-05,             1.4247e-05
                     33,                0.69543,                 1.4641,                 1.1808,                0.94958,                0.38333,                0.57536,                0.41828,                 1.7212,                 2.3971,                 1.5454,             1.3953e-05,             1.3953e-05,             1.3953e-05
                     34,                0.73464,                 1.8823,                 1.3103,                0.94958,                0.38333,                0.57536,                0.41828,                 1.7212,                 2.3971,                 1.5454,             1.3611e-05,             1.3611e-05,             1.3611e-05
                     35,                0.80046,                 1.9759,                 1.1832,                0.94962,                0.38333,                0.57738,                 0.4358,                 1.7162,                 2.4182,                 1.5328,             1.3222e-05,             1.3222e-05,             1.3222e-05
                     36,                0.61663,                 1.3451,                 1.1042,                0.94962,                0.38333,                0.57738,                 0.4358,                 1.7162,                 2.4182,                 1.5328,             1.2787e-05,             1.2787e-05,             1.2787e-05
                     37,                0.74533,                  1.561,                 1.1234,                0.78146,                0.38333,                0.57486,                0.43466,                 1.6899,                 2.4394,                 1.5247,             1.2304e-05,             1.2304e-05,             1.2304e-05
                     38,                0.92426,                 2.1577,                 1.3608,                0.78146,                0.38333,                0.57486,                0.43466,                 1.6899,                 2.4394,                 1.5247,             1.1774e-05,             1.1774e-05,             1.1774e-05
                     39,                 1.5598,                 2.1625,                 1.8664,                0.94857,                0.38333,                0.57677,                0.43469,                 1.7134,                 2.4805,                 1.5383,             1.1196e-05,             1.1196e-05,             1.1196e-05
                     40,                 0.9179,                 1.6219,                 1.3263,                0.94857,                0.38333,                0.57677,                0.43469,                 1.7134,                 2.4805,                 1.5383,             1.0572e-05,             1.0572e-05,             1.0572e-05
                     41,                0.74622,                 1.1647,                 1.0679,                0.94786,                0.38333,                0.57985,                0.43596,                 1.7013,                 2.4469,                 1.5345,             9.9008e-06,             9.9008e-06,             9.9008e-06
                     42,                0.59707,                0.75859,                0.97213,                0.94786,                0.38333,                0.57985,                0.43596,                 1.7013,                 2.4469,                 1.5345,             9.1823e-06,             9.1823e-06,             9.1823e-06
                     43,                0.70465,                 1.1005,                 1.0711,                0.94441,                0.38333,                0.57993,                0.43634,                 1.7337,                 2.4866,                 1.5587,             8.4166e-06,             8.4166e-06,             8.4166e-06
                     44,                0.67074,                0.84961,                0.97205,                0.94441,                0.38333,                0.57993,                0.43634,                 1.7337,                 2.4866,                 1.5587,             7.6039e-06,             7.6039e-06,             7.6039e-06
                     45,                0.81626,                 1.2767,                 1.1842,                0.93858,                0.38333,                0.58109,                0.43738,                 1.7532,                 2.4621,                 1.5645,              6.744e-06,              6.744e-06,              6.744e-06
                     46,                0.91301,                 1.0506,                 1.1938,                0.93858,                0.38333,                0.58109,                0.43738,                 1.7532,                 2.4621,                 1.5645,             5.8369e-06,             5.8369e-06,             5.8369e-06
                     47,                0.70086,                 1.2914,                  1.078,                0.92656,                0.38333,                0.57852,                0.43646,                 1.7659,                 2.5099,                 1.5832,             4.8828e-06,             4.8828e-06,             4.8828e-06
                     48,                0.68777,                0.90401,                 1.0543,                0.92656,                0.38333,                0.57852,                0.43646,                 1.7659,                 2.5099,                 1.5832,             3.8815e-06,             3.8815e-06,             3.8815e-06
                     49,                0.72908,                 1.0258,                 1.1659,                0.90732,                0.38333,                0.57869,                0.43788,                   1.75,                 2.4545,                   1.56,             2.8332e-06,             2.8332e-06,             2.8332e-06
                     50,                0.61384,                 1.0735,                 1.0532,                0.90732,                0.38333,                0.57869,                0.43788,                   1.75,                 2.4545,                   1.56,             1.7376e-06,             1.7376e-06,             1.7376e-06
